635	11952.29809
572	4921.57069
556	4631.45131
630	3512.64993
573	4490.64121
571	3695.71990
560	3804.60206
563	3819.89284
573	4194.40146
601	3927.68828
558	3769.14633
580	3901.07959
542	4109.50290
600	4083.63758
547	3872.24760
585	4250.26391
582	4578.33523
567	4495.93330
592	4274.02790
574	4614.03794
557	4353.64449
564	4609.63352
587	4326.99028
571	4998.48502
563	5034.07952
558	5245.97316
542	5092.39812
543	5460.89866
535	4810.92532
532	5011.66093
552	4787.10360
507	5373.66130
502	5548.97445
559	5483.81479
557	5451.36981
560	6035.80949
561	5340.33660
557	5815.92590
524	5248.04478
546	6170.34088
591	6054.04807
551	6136.19083
516	5726.65012
550	6385.81565
519	5896.57535
520	6176.01956
506	5868.11858
513	6784.49428
502	6766.37365
536	6871.78018
511	6695.63037
539	7196.38049
565	6607.68065
497	6868.11931
518	6648.32691
504	7581.10105
541	7478.69295
493	7602.00198
499	7380.42514
524	8209.02786
490	6985.76823
515	7643.90798
487	7123.41862
442	7522.97881
463	7212.53415
526	7332.14124
473	7491.53495
448	7570.37248
468	6891.06306
454	7266.75126
473	7081.45579
503	7812.95888
448	7468.32706
423	7413.12691
448	7536.13732
480	7877.00221
448	7321.72878
489	7461.44297
431	7076.89535
440	7791.42586
452	8008.98016
449	7990.52844
447	8107.89500
459	8217.39512
441	7726.44255
465	7575.57374
415	7692.06631
477	8389.98234
426	8028.04657
462	8104.80818
430	8416.53733
454	8518.76871
455	7757.78694
389	7521.62063
379	7763.85151
411	8390.04465
378	8267.49620
389	8062.16110
399	8477.15316
385	8824.25208
378	8285.36363
398	8322.00847
402	8171.68022
362	8668.01386
351	8180.52173
379	8126.50217
354	8549.80749
388	8865.58249
294	7497.72921
352	7709.44865
365	7830.23477
357	7993.57040
339	7855.66918
355	7919.11660
359	8111.69397
323	8576.03678
327	7102.94848
296	7353.17799
351	7376.65816
289	7998.27856
334	7102.92101
294	10555.86011
286	7346.32056
318	8624.87921
327	9050.90025
319	9336.55357
317	9647.73893
342	10277.28158
585	5761.96127
537	4189.73743
534	5254.21568
516	4307.13677
527	5846.50723
561	4995.52130
542	5328.64778
563	5595.50338
557	6101.90951
579	5581.29918
577	5552.11028
579	5561.27254
522	5781.89683
597	5747.66870
569	5587.99120
563	5886.70763
558	6389.74564
549	6317.05938
549	6092.10480
560	6297.36443
